formula,MAE,MAE_std,MAPE,MAPE_std,count
basic_kings_2024_only,47.94,,71.56,,1
kings_with_lt_var_2024_only,47.94,,71.56,,1
modified_kings_2024_only_t1_1,47.94,,71.56,,1
kings_with_lt_var_last_12_months,50.85,,75.89,,1
basic_kings_last_12_months,50.85,,75.89,,1
modified_kings_last_12_months_t1_1,50.85,,75.89,,1
kings_with_lt_var_2023_2025,52.74,,78.72,,1
basic_kings_all_data,52.74,,78.72,,1
kings_with_lt_var_all_data,52.74,,78.72,,1
modified_kings_2023_2025_t1_1,52.74,,78.72,,1
modified_kings_all_data_t1_1,52.74,,78.72,,1
basic_kings_2023_2025,52.74,,78.72,,1
modified_kings_2024_only_t1_7,59.8,,89.25,,1
modified_kings_last_12_months_t1_7,60.9,,90.89,,1
modified_kings_2023_2025_t1_7,61.61,,91.96,,1
modified_kings_all_data_t1_7,61.61,,91.96,,1
modified_kings_2024_only_t1_30,63.52,,94.81,,1
modified_kings_last_12_months_t1_30,64.05,,95.6,,1
modified_kings_all_data_t1_30,64.4,,96.11,,1
modified_kings_2023_2025_t1_30,64.4,,96.11,,1
